destination_name,country,continent,type,avg_cost_usd_day,best_season,avg_rating,annual_visitors_m,unesco_site,budget_level,culture,adventure,nature,beaches,nightlife,cuisine,wellness,urban,seclusion,climate_label
Serene Temple,Morocco,Africa,Beach,174.84,Summer,4.5,7.45,No,Premium,4.285714285714286,2.5714285714285716,3.0,2.0,2.857142857142857,4.142857142857143,3.142857142857143,3.2857142857142856,3.0,Pleasant
Sacred Valley,Germany,Europe,Religious,94.41,Summer,4.6,1.98,No,Mid-range,4.2727272727272725,2.4545454545454546,3.1818181818181817,1.4545454545454546,3.6363636363636362,3.8181818181818183,3.0,4.0,2.5454545454545454,Warm
Serene Temple,South Africa,Africa,Adventure,228.96,Summer,4.7,0.7,Yes,Premium,3.75,3.5,4.0,2.75,3.5,4.0,3.0,4.0,2.25,Warm
Sacred Plaza,Australia,Oceania,Nature,120.96,Summer,4.3,2.24,No,Mid-range,3.2941176470588234,3.9411764705882355,4.529411764705882,3.6470588235294117,2.588235294117647,3.5294117647058822,3.2941176470588234,2.588235294117647,3.5294117647058822,Warm
Golden Ruins,Mexico,North America,Adventure,162.1,Spring,3.9,4.6,No,Premium,3.933333333333333,3.466666666666667,3.533333333333333,2.8666666666666667,3.6666666666666665,4.333333333333333,3.4,3.2,2.6666666666666665,Cold
Hidden Valley,Thailand,Asia,Historical,190.82,Spring,4.0,1.83,Yes,Premium,4.0,3.6,3.8,2.8,3.2,4.4,3.8,2.8,3.4,Cold
Hidden Park,Spain,Europe,Adventure,104.6,Summer,4.1,4.83,No,Mid-range,4.25,3.1666666666666665,3.4166666666666665,3.0,3.6666666666666665,4.416666666666667,3.1666666666666665,3.4166666666666665,2.75,Pleasant
Grand Valley,Brazil,South America,Beach,118.53,Autumn,4.7,5.39,No,Mid-range,3.875,3.625,4.0,3.625,4.0,4.25,3.0,3.5,2.5,Warm
Ancient Beach,New Zealand,Oceania,Historical,122.78,Spring,4.5,6.27,No,Mid-range,3.3333333333333335,4.0,4.555555555555555,2.7777777777777777,3.111111111111111,3.3333333333333335,3.4444444444444446,3.0,3.2222222222222223,Cold
Serene Valley,Kenya,Africa,City,119.99,Spring,4.8,1.43,No,Mid-range,4.0,4.0,4.5,3.0,3.0,3.5,3.0,3.5,2.5,Warm
Hidden Ruins,China,Asia,Historical,119.91,Autumn,5.0,1.66,No,Mid-range,4.333333333333333,3.2222222222222223,3.5555555555555554,1.2222222222222223,3.111111111111111,3.888888888888889,3.0,3.5555555555555554,2.888888888888889,Warm
Ancient Park,Japan,Asia,Historical,123.32,Winter,4.5,9.14,No,Mid-range,4.5,2.2,3.3,1.6,3.1,4.4,3.0,3.6,2.8,Warm
Grand Canyon,Morocco,Africa,City,191.13,Winter,4.1,3.46,Yes,Premium,4.285714285714286,2.5714285714285716,3.0,2.0,2.857142857142857,4.142857142857143,3.142857142857143,3.2857142857142856,3.0,Pleasant
Golden Temple,Morocco,Africa,Religious,288.92,Winter,4.9,2.26,No,Premium,4.285714285714286,2.5714285714285716,3.0,2.0,2.857142857142857,4.142857142857143,3.142857142857143,3.2857142857142856,3.0,Pleasant
Serene Park,Italy,Europe,Historical,186.92,Autumn,4.6,1.34,Yes,Premium,4.578947368421052,2.473684210526316,3.3684210526315788,2.210526315789474,3.0,4.631578947368421,3.1578947368421053,3.5789473684210527,2.8421052631578947,Warm
Lush Ruins,Peru,South America,City,99.55,Autumn,4.0,3.08,No,Mid-range,4.333333333333333,3.8333333333333335,4.166666666666667,1.1666666666666667,2.5,3.6666666666666665,2.5,2.5,3.3333333333333335,Cold
Sacred Canyon,Brazil,South America,City,126.97,Winter,4.8,3.17,No,Mid-range,3.875,3.625,4.0,3.625,4.0,4.25,3.0,3.5,2.5,Warm
Mystic Forest,South Africa,Africa,Adventure,93.47,Autumn,4.5,8.12,No,Mid-range,3.75,3.5,4.0,2.75,3.5,4.0,3.0,4.0,2.25,Warm
Mystic Ruins,Vietnam,Asia,Beach,116.15,Summer,4.7,0.55,No,Mid-range,4.142857142857143,3.4285714285714284,3.7142857142857144,1.8571428571428572,2.4285714285714284,4.285714285714286,3.142857142857143,3.0,3.4285714285714284,Cold
Lush Forest,Kenya,Africa,Adventure,179.11,Summer,4.8,7.43,No,Premium,4.0,4.0,4.5,3.0,3.0,3.5,3.0,3.5,2.5,Warm
