city,country,region,budget_numeric,spring_avg_temp,summer_avg_temp,autumn_avg_temp,winter_avg_temp,ideal_duration_days,avg_rating,annual_visitors,culture_norm,adventure_norm,nature_norm,beaches_norm,urban_norm,nightlife_norm,cuisine_norm,wellness_norm,seclusion_norm,rating_norm,annual_visitors_norm,ideal_duration_norm
Milan,Italy,europe,3,14.066666666666668,24.833333333333332,14.933333333333332,5.166666666666667,6.0,4.504255319148936,5.6115957446808515,1.0,0.0,0.0,0.0,1.0,0.75,1.0,0.3333333333333333,0.25,0.9008510638297873,0.9467312915247735,0.47058823529411764
Yasawa Islands,Fiji,oceania,3,27.433333333333334,25.933333333333334,26.46666666666667,28.066666666666666,10.5,3.5,1.0,0.0,0.6666666666666666,1.0,1.0,0.0,0.25,0.3333333333333333,0.6666666666666666,1.0,0.7,0.0,1.0
Whistler,Canada,north_america,3,4.6000000000000005,16.7,7.966666666666668,-2.033333333333333,5.0,4.531521739130436,4.660978260869565,0.3333333333333333,1.0,1.0,0.25,0.25,0.5,0.3333333333333333,0.6666666666666666,0.75,0.9063043478260872,0.7515755649559926,0.35294117647058826
Guanajuato,Mexico,north_america,2,22.233333333333334,21.166666666666668,18.866666666666664,15.866666666666665,5.0,4.49,5.368777777777778,1.0,0.3333333333333333,0.3333333333333333,0.0,0.75,0.5,0.6666666666666666,0.3333333333333333,0.25,0.898,0.8968823064577887,0.35294117647058826
Surabaya,Indonesia,asia,1,28.866666666666664,28.433333333333334,29.53333333333333,28.2,4.0,3.5,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.25,0.75,0.5,0.6666666666666666,0.3333333333333333,0.25,0.7,0.0,0.23529411764705882
Nuuk,Greenland,north_america,3,-2.5,6.766666666666667,0.39999999999999974,-6.933333333333334,6.0,3.5,1.0,0.3333333333333333,0.6666666666666666,1.0,0.25,0.25,0.25,0.3333333333333333,0.0,1.0,0.7,0.0,0.47058823529411764
Windhoek,Namibia,africa,2,20.433333333333334,15.9,23.666666666666668,24.066666666666666,5.0,3.5,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.5,0.5,0.3333333333333333,0.3333333333333333,0.75,0.7,0.0,0.35294117647058826
Kingston,Jamaica,north_america,2,27.96666666666667,29.7,28.8,27.133333333333336,6.0,3.5,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.5,0.5,0.75,0.6666666666666666,0.3333333333333333,0.25,0.7,0.0,0.47058823529411764
Nafplio,Greece,europe,2,15.633333333333335,27.23333333333333,18.599999999999998,8.733333333333333,3.0,4.506542056074767,4.967570093457944,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5,0.5,0.5,0.6666666666666666,0.3333333333333333,0.75,0.9013084112149533,0.8145169192523092,0.11764705882352941
Tbilisi,Georgia,asia,1,13.566666666666668,25.133333333333336,14.899999999999999,4.366666666666666,5.0,3.5,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.5,0.5,0.6666666666666666,0.3333333333333333,0.5,0.7,0.0,0.35294117647058826
Heidelberg,Germany,europe,2,10.366666666666665,20.7,12.133333333333333,4.066666666666666,4.0,4.433333333333334,4.982314814814815,1.0,0.0,0.6666666666666666,0.0,0.5,0.5,0.6666666666666666,0.3333333333333333,0.75,0.8866666666666667,0.8175439168180574,0.23529411764705882
Hobart,Australia,oceania,2,12.733333333333334,8.833333333333334,11.5,15.9,5.0,4.425609756097561,5.754756097560975,0.6666666666666666,0.3333333333333333,1.0,0.5,0.5,0.25,0.6666666666666666,0.3333333333333333,0.75,0.8851219512195122,0.9761212019334798,0.35294117647058826
Nagasaki,Japan,asia,2,15.833333333333334,26.133333333333336,20.2,8.5,4.0,4.49879518072289,5.085060240963856,0.6666666666666666,0.0,0.3333333333333333,0.25,0.5,0.5,0.6666666666666666,0.3333333333333333,0.5,0.8997590361445781,0.8386368996773077,0.23529411764705882
Utrecht,Netherlands,europe,2,10.0,18.066666666666666,11.533333333333333,5.1,4.0,3.5,1.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.75,0.75,0.6666666666666666,0.3333333333333333,0.5,0.7,0.0,0.23529411764705882
Bagan,Myanmar,asia,1,29.933333333333337,27.53333333333333,25.733333333333334,22.5,6.0,3.5,1.0,1.0,0.3333333333333333,0.6666666666666666,0.0,0.25,0.0,0.3333333333333333,0.0,0.75,0.7,0.0,0.47058823529411764
Malmö,Sweden,europe,2,8.266666666666667,17.7,10.733333333333333,3.0,4.0,3.5,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.5,0.75,0.5,0.6666666666666666,0.3333333333333333,0.25,0.7,0.0,0.23529411764705882
Amsterdam,Netherlands,europe,2,10.266666666666667,18.099999999999998,11.899999999999999,5.3,5.0,3.5,1.0,1.0,0.3333333333333333,0.3333333333333333,0.25,1.0,1.0,0.6666666666666666,0.3333333333333333,0.25,0.7,0.0,0.35294117647058826
New York,United States,north_america,3,12.033333333333333,24.599999999999998,15.533333333333331,2.9,8.666666666666666,4.555128205128205,5.036153846153847,1.0,0.3333333333333333,0.3333333333333333,0.25,1.0,1.0,1.0,0.3333333333333333,0.0,0.911025641025641,0.8285967277095662,0.784313725490196
Chicago,United States,north_america,3,10.533333333333333,23.933333333333334,13.699999999999998,-0.7666666666666666,6.0,4.555128205128205,5.036153846153847,1.0,0.3333333333333333,0.3333333333333333,0.25,1.0,1.0,1.0,0.3333333333333333,0.25,0.911025641025641,0.8285967277095662,0.47058823529411764
Raleigh,United States,north_america,2,16.433333333333334,26.03333333333333,17.166666666666668,7.5,4.0,4.555128205128205,5.036153846153847,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.25,0.75,0.5,0.6666666666666666,0.3333333333333333,0.5,0.911025641025641,0.8285967277095662,0.23529411764705882
Trondheim,Norway,europe,3,5.3,14.366666666666667,6.533333333333334,-0.4000000000000001,5.0,3.5,1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.25,0.5,0.5,0.3333333333333333,0.3333333333333333,0.75,0.7,0.0,0.35294117647058826
Bruges,Belgium,europe,2,10.1,17.6,12.533333333333333,5.833333333333333,4.0,3.5,1.0,1.0,0.0,0.3333333333333333,0.0,0.5,0.5,0.6666666666666666,0.3333333333333333,0.75,0.7,0.0,0.23529411764705882
Reykjavik,Iceland,europe,3,4.266666666666667,10.833333333333334,5.6000000000000005,0.5,5.0,3.5,1.0,0.3333333333333333,0.6666666666666666,1.0,0.25,0.5,0.5,0.3333333333333333,0.6666666666666666,0.75,0.7,0.0,0.35294117647058826
Seoul,South Korea,asia,2,13.366666666666665,25.666666666666668,15.333333333333334,-0.09999999999999994,6.0,3.5,1.0,1.0,0.3333333333333333,0.3333333333333333,0.25,1.0,1.0,1.0,0.6666666666666666,0.25,0.7,0.0,0.47058823529411764
Ankara,Turkey,asia,2,12.4,23.73333333333333,14.633333333333333,3.5,6.0,3.5,1.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.75,0.5,0.6666666666666666,0.3333333333333333,0.25,0.7,0.0,0.47058823529411764
Kyoto,Japan,asia,3,15.266666666666666,26.900000000000002,19.166666666666668,6.333333333333333,6.0,4.49879518072289,5.085060240963856,1.0,0.0,0.6666666666666666,0.0,0.5,0.25,1.0,0.3333333333333333,0.75,0.8997590361445781,0.8386368996773077,0.47058823529411764
Tampa,United States,north_america,2,23.96666666666667,28.5,24.633333333333336,18.3,5.0,4.555128205128205,5.036153846153847,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.75,0.5,0.75,0.6666666666666666,0.3333333333333333,0.25,0.911025641025641,0.8285967277095662,0.35294117647058826
Dublin,Ireland,europe,2,8.566666666666668,14.799999999999999,10.566666666666666,6.033333333333334,5.0,3.5,1.0,0.6666666666666666,0.0,0.3333333333333333,0.25,0.75,0.75,0.6666666666666666,0.3333333333333333,0.25,0.7,0.0,0.35294117647058826
Washington,United States,north_america,2,14.633333333333335,26.23333333333333,16.73333333333333,4.8999999999999995,5.0,4.555128205128205,5.036153846153847,1.0,0.0,0.3333333333333333,0.0,1.0,0.75,0.6666666666666666,0.3333333333333333,0.25,0.911025641025641,0.8285967277095662,0.35294117647058826
Livingstone,Zambia,africa,2,22.7,18.5,26.733333333333334,24.733333333333334,5.0,3.5,1.0,0.3333333333333333,1.0,1.0,0.25,0.25,0.25,0.3333333333333333,0.3333333333333333,0.75,0.7,0.0,0.35294117647058826
Kraków,Poland,europe,2,9.1,19.7,9.833333333333334,0.9,5.0,3.5,1.0,1.0,0.0,0.3333333333333333,0.0,0.75,0.75,0.6666666666666666,0.3333333333333333,0.25,0.7,0.0,0.35294117647058826
Petra,Jordan,middle_east,2,19.133333333333333,28.133333333333336,21.700000000000003,10.733333333333334,6.0,3.5,1.0,1.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.75,0.7,0.0,0.47058823529411764
Athens,Greece,europe,2,17.2,28.266666666666666,20.633333333333333,11.433333333333332,5.0,4.506542056074767,4.967570093457944,1.0,0.3333333333333333,0.3333333333333333,0.5,0.75,0.75,1.0,0.3333333333333333,0.25,0.9013084112149533,0.8145169192523092,0.35294117647058826
Malé,Maldives,asia,2,29.833333333333332,29.366666666666664,28.7,28.733333333333334,4.0,3.5,1.0,0.0,0.3333333333333333,1.0,1.0,0.5,0.25,0.3333333333333333,0.6666666666666666,0.5,0.7,0.0,0.23529411764705882
Austin,United States,north_america,2,21.066666666666666,29.7,22.2,12.299999999999999,5.0,4.555128205128205,5.036153846153847,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.75,1.0,1.0,0.3333333333333333,0.25,0.911025641025641,0.8285967277095662,0.35294117647058826
Pago Pago,American Samoa,oceania,2,28.2,27.2,27.666666666666668,28.166666666666668,6.0,3.5,1.0,0.3333333333333333,0.6666666666666666,1.0,0.75,0.25,0.25,0.3333333333333333,0.3333333333333333,0.75,0.7,0.0,0.47058823529411764
Luanda,Angola,africa,2,27.400000000000002,22.733333333333334,25.166666666666668,27.366666666666664,6.0,3.5,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5,0.6666666666666666,0.0,0.25,0.7,0.0,0.47058823529411764
